time_s,SYN_A,SYN_M,SYN_B1,SYN_B2,SYN_B3
1700.92,0.00413215,0.00528532,0,0.00195815,0.00286664
2273.21,0.235502,0,0,0.00243031,0.0044611
2845.5,1.50408,0,0.00862456,0,0
3417.78,1.86635,0,0.0117981,0.00313477,0
3990.07,0.517762,0.00630811,0,0,0
4562.35,0.0582661,0.0660283,0,0,0.0187681
5134.64,0,0.66578,0.0445154,0.00988821,0.0027152
5706.93,0.00142055,1.96928,0.556747,0.00306649,0
6279.21,0.01339,2.35096,0.772111,0.0195541,0
6851.5,0,2.1606,0.51881,0.00860296,0.0101688
7423.79,0,1.73111,0.318227,0.0522501,0
7996.07,0.0151452,1.32092,0.157492,0.112851,0
8568.36,0,0.849004,0.0507376,0.199884,0
9140.65,0.0030859,0.427908,0.00381447,0.408378,0.0125626
9712.93,0,0.142656,0,0.57758,0.00668758
10285.2,0.0105391,0.0254724,0.0175442,0.420146,0.0415652
10857.5,0,0.000392004,0,0.0854884,0.260858
11429.8,0,0.0131908,0.00878982,0.000223652,0.362393
12002.1,0,0,0,0,0.13753
12574.4,0.0159404,0,0,0.00313907,0
13146.7,0,0,0.00734739,0,0
